01-NN-000551,PAREF ROSEFIELD SCHOOL,DAT,,,,
01-NN-000031/01-NN-000032,ATENEO DE MANILA UNIV. (E/HS),VAS,"Rm 210 Xavier Hall, ADMU, Katipunan, Loyola Hts,QC","Diliman, Quezon City",,
01-NN-000467,MIRIAM COLLEGE (E/HS),VAS,"Katipunan Ave, Loyola Hts, Quezon City","Diliman, Quezon City",,
01-NO-000037,XAVIER SCHOOL,VAS,"64 Xavier St, West Greenhills, San Juan,M.M.","San Juan, Metro Manila",,
01-NN-000733/01-NN-000734,ST. THERESA'S COLLEGE (E/HS),VAS,"116 D. Tuazon Ave.,",Quezon City,,
01-NO-000029,"O.B. MONTESSORI CENTER, INC.",VAS,"3 Eisenhower St, Greenhills, San Juan, M.M.","San Juan, Metro Manila",,
01-NC-000015/01-NC-000016,DON BOSCO TECHNICAL INST. (E/HS),VAS,"Chino Roces Ave.,","Pasong Tamo, Makati City",,
01-ND-000072/01-ND-000073,ST. JAMES ACADEMY- E/HS,VAS,"Jose Rizal Ave., Ext., San Agustin,","Malabon, Metro Manila",,KALOOKAN
01-NO-000014,IMM. CONCEPTION ACADEMY (E/HS),VAS,"10 Grant St, West Greenhills, San Juan","West Greenhills, San Juan, M. M.",,
01-DN-000034,ASSUMPTION ANTIPOLO,VAS,"Sumulong Highway, Antipolo City",Antipolo City,FMA,
01-DN-000326,SIENA COLLEGE OF TAYTAY (E/HS),VAS,Rodriguez Street,"Taytay, Rizal",OP-SIENA,
01-NN-000415/01-NN-000416,LOURDES SCHOOL OF Q.C. (E/PE/HS),VAS,"Kanlaon cor Don Manuel St, Sta Mesa Hts, QC",Kanlaon Quezon City,OFM CAP,
01-NE-000065,ST. PEDRO POVEDA COLLEGE,VAS,"EDSA cor Poveda St, Mandaluyong City","Edsa/Ortigas Ave.,Mandaluyong City",,
01-NJ-000060,SOUTHVILLE INTERNATIONAL SCHOOL,VAS,"136 Elizalde St.,","BF Homes, Paranaque City",,
01-NC-000001/01-NC-000002,"ASSUMPTION COLLEGE, INC. (E/HS)",VAS,"San Lorenzo Drive, San Lorenzo Village,Makati",Makati City,,
01-NE-000014,DON BOSCO TECHNICAL COLL.-MANDALUYONG,VAS,"Kalentong St.,",Mandaluyong City,,
01-NH-000094,SOUTHRIDGE SCHOOL,VAS,"Hillsborough Subdivision, Alabang, Muntinlupa","Alabang, Muntinlupa City",,
01-NN-000887,ROMARINDA INTERNATIONAL SCHOOL,VAS,"Corrina Subd, Pasong Tamo,Tandang Sora, QC",,,
01-NN-000885,THE BEACON INTERNATIONAL SCHOOL,VAS,"PCPD Bldg, 2332 Chino Roces Ave, Makati City",,,
01-NC-000070/01-NJ-000182,SINGAPORE SCHOOL OF MANILA,VAS,"Blk 5 Lot4-5 , Paseo de Magallanes, Makati city","Paseo de Magallanes, Makati City",,
01-NL-000142,DOMUSCHOLA INTERNATIONAL SCHOOL,VAS,"Dorm 1 Molave St, Bo Ugong, Pasig City",,,
01-NN-000872,MULTIPLE INTELLIGENCE INTERNATIONAL SCH.,VAS,"4 Escaler St, Loyola Heights,QC",,,
01-NN-000888,BRITESPARK INTERNATIONAL SCHOOL,VAS,"IDC Bldg, E Rod Ave, Bo Ugong, Pasig City",,,
01-NK-000063,MAHATMA GANDHI INTERNATIONAL SCHOOL,VAS,,,,
01-NC-000097/01-NN-000886,AUSTRALIAN INTERNATIONAL SCHOOL,VAS,"NCP Compound, 2332 Chino Roces Ave, Makati City",,,
01-NJ-000179,SOUTHFIELD INTERNATIONAL CHRISTIAN ACAD.,VAS,"84 Amity Extn,Annex 7, Betterliving Subd, Paranaque City",,,
